date,turnover,top3_ind,rise_pct,margin_pct,pct_turnover,pct_top3_ind,pct_rise_pct,pct_margin_pct,composite_sentiment
2012-03-21,58.47,66.36,45.26,15.13,64.68,94.84,,97.22,85.58
2012-03-22,59.7,63.13,30.53,15.57,68.11,86.22,23.02,94.88,68.06
2012-03-23,52.2,61.0,63.16,14.82,36.33,78.52,57.87,98.05,67.69
2012-03-26,58.08,63.23,98.95,14.26,62.4,87.21,97.66,99.61,86.72
2012-03-27,55.62,64.91,31.58,15.59,54.23,90.38,23.64,91.92,65.05
2012-03-28,59.27,63.04,30.53,15.47,67.56,83.59,22.69,93.51,66.84
2012-03-29,56.14,62.42,40.0,15.48,58.71,82.2,32.44,92.8,66.54
2012-03-30,57.64,64.65,76.84,15.5,62.03,89.85,71.59,92.11,78.89
2012-04-02,53.67,61.85,83.16,15.64,42.16,78.73,79.7,88.81,72.35
2012-04-03,63.11,66.65,23.16,15.66,78.15,95.19,19.03,87.78,70.04
2012-04-04,57.11,64.73,16.84,16.44,60.66,89.34,17.41,87.13,63.63
2012-04-05,54.05,65.75,49.47,16.7,43.43,90.88,45.22,86.5,66.51
2012-04-09,49.78,64.67,5.26,18.81,22.1,88.04,8.76,67.75,46.66
2012-04-10,73.42,65.67,0.0,20.39,94.6,90.29,0.72,61.51,61.78
2012-04-11,58.39,63.8,82.11,20.02,64.64,83.93,79.5,61.79,72.46
2012-04-12,61.65,64.0,89.47,17.2,74.11,84.04,85.71,84.04,81.98
2012-04-13,72.1,68.37,14.74,19.55,93.31,96.13,15.25,62.32,66.75
2012-04-16,71.88,66.54,61.05,19.55,91.96,94.06,57.04,62.24,76.32
2012-04-17,66.31,68.63,94.74,18.46,82.29,96.18,91.96,71.88,85.58
2012-04-18,61.56,69.89,28.42,18.64,71.38,96.9,21.88,68.62,64.69
2012-04-19,68.79,67.37,15.79,18.36,85.96,94.18,16.9,72.95,67.49
2012-04-20,72.32,68.25,56.84,17.44,93.54,94.22,53.08,81.97,80.7
2012-04-23,64.19,67.16,9.47,18.97,78.04,92.91,13.27,65.2,62.35
2012-04-24,64.47,67.62,68.42,18.1,78.19,93.62,63.51,76.85,78.04
2012-04-25,66.31,64.56,83.16,16.82,81.0,81.0,80.2,86.33,82.13
2012-04-26,58.13,57.14,76.84,16.24,59.27,41.39,71.33,88.41,65.1
2012-04-27,59.61,58.89,63.16,16.32,64.14,56.91,58.28,87.83,66.79
2012-04-30,53.49,55.93,33.68,17.15,36.93,26.47,27.3,83.33,43.51
2012-05-01,55.42,60.39,70.53,16.6,48.38,63.96,64.71,86.69,65.93
2012-05-02,48.57,59.23,49.47,16.88,16.45,60.32,44.81,84.19,51.44
2012-05-03,49.06,59.33,17.89,17.56,18.27,61.22,19.03,78.53,44.26
2012-05-04,54.73,61.19,6.32,19.16,46.82,69.11,10.26,60.19,46.59
2012-05-07,52.48,63.7,55.79,18.94,31.96,78.8,51.27,62.34,56.09
2012-05-08,58.64,59.04,30.53,19.05,63.84,56.92,25.32,60.69,51.69
2012-05-09,59.16,57.94,18.95,20.08,64.69,46.56,20.13,54.06,46.36
2012-05-10,55.68,59.59,65.26,18.83,50.0,61.8,62.5,63.66,59.49
2012-05-11,60.97,64.05,38.95,19.89,70.68,80.56,33.23,54.63,59.77
2012-05-14,52.78,59.41,9.47,21.87,32.82,61.04,12.96,43.87,37.67
2012-05-15,56.13,60.99,31.58,21.97,53.96,67.38,27.61,42.99,47.98
2012-05-16,61.95,62.37,34.74,22.27,73.64,73.03,30.18,41.52,54.59
2012-05-17,66.68,61.65,5.26,24.49,84.04,70.78,8.18,37.65,50.16
2012-05-18,96.92,71.03,22.11,25.1,99.7,97.31,21.69,36.23,63.73
2012-05-21,63.25,67.02,85.42,22.01,75.89,91.96,83.53,43.75,73.79
2012-05-22,61.95,65.8,54.17,22.48,72.49,86.69,50.89,41.72,62.95
2012-05-23,65.44,64.42,56.25,22.33,79.71,80.29,54.14,42.06,64.05
